CountryName,CountryCode,Year,GDP
Montenegro,MNE,2011,4544516982.18263
Myanmar,MMR,2011,54118601974.7947
Nauru,NRU,2011,66055407.6703145
Netherlands,NLD,2011,905270626332.687
New Caledonia,NCL,2011,10351442208.992
New Zealand,NZL,2011,168291357111.739
North Macedonia,MKD,2011,10494632699.3859
Northern Mariana Islands,MNP,2011,729000000.0
Norway,NOR,2011,498283438454.281
Palau,PLW,2011,196911100.0
Papua New Guinea,PNG,2011,17984910501.8979
Philippines,PHL,2011,234216930369.796
Poland,POL,2011,528301269069.799
Portugal,PRT,2011,245117990242.248
Romania,ROU,2011,183326740143.016
Russian Federation,RUS,2011,2045925608274.37
Samoa,WSM,2011,737401684.079882
San Marino,SMR,2011,1813752783.96437
Serbia,SRB,2011,49258136128.9672
Singapore,SGP,2011,279351168707.267
Slovak Republic,SVK,2011,99492917848.5897
Slovenia,SVN,2011,51583869785.1849
Solomon Islands,SLB,2011,1049889691.54463
Spain,ESP,2011,1480710495710.12
Sweden,SWE,2011,574094112972.733
Switzerland,CHE,2011,722038242134.62
Tajikistan,TJK,2011,6522732202.50748
Thailand,THA,2011,370819140946.553
Timor-Leste,TLS,2011,1042411500.0
Tonga,TON,2011,414523388.461329
Turkiye,TUR,2011,838762755164.179
Turkmenistan,TKM,2011,29233333333.3333
Tuvalu,TUV,2011,39195461.5781331
Ukraine,UKR,2011,169333048847.834
United Kingdom,GBR,2011,2674891473843.81
Uzbekistan,UZB,2011,60178909297.208
Vanuatu,VUT,2011,770153304.153832
Vietnam,VNM,2011,172595960457.831
Albania,ALB,2012,12319830437.3467
American Samoa,ASM,2012,640000000.0
Andorra,AND,2012,3188652765.36184
Armenia,ARM,2012,10619320048.5857
Australia,AUS,2012,1546508558465.66
Austria,AUT,2012,409401816050.531
Azerbaijan,AZE,2012,69683935845.2139
Belarus,BLR,2012,65685102554.8759
Belgium,BEL,2012,496152879924.727
Bosnia and Herzegovina,BIH,2012,17221192487.0296
Brunei Darussalam,BRN,2012,19047940300.8963
Bulgaria,BGR,2012,54300857424.4415
Cambodia,KHM,2012,14054443213.4639
Channel Islands,CHI,2012,453739518693.16473
China,CHN,2012,8532229986993.65
Croatia,HRV,2012,57192346923.335
Cyprus,CYP,2012,24978513426.6992
Czechia,CZE,2012,208857719320.649
Denmark,DNK,2012,327148943812.137
Estonia,EST,2012,23019150071.1867
Faroe Islands,FRO,2012,2414380664.65257
Fiji,FJI,2012,3972012570.53467
Finland,FIN,2012,258290060227.734
France,FRA,2012,2683671716967.19
French Polynesia,PYF,2012,453739518693.16473
Georgia,GEO,2012,16488403076.3641
Germany,DEU,2012,3527143188785.16
Gibraltar,GIB,2012,453739518693.16473
Greece,GRC,2012,242029307133.408
Greenland,GRL,2012,2609667673.71601
Guam,GUM,2012,5265000000.0
"Hong Kong SAR, China",HKG,2012,262629441493.476
Hungary,HUN,2012,128857370476.631
Iceland,ISL,2012,14751508133.5443
Indonesia,IDN,2012,917869910105.749
Ireland,IRL,2012,225496810956.67
Isle of Man,IMN,2012,6690725118.48341
Italy,ITA,2012,2086957656821.6
Japan,JPN,2012,6272362996105.03
Kazakhstan,KAZ,2012,207998568865.789
Kiribati,KIR,2012,189630114.855587
"Korea, Dem. People's Rep.",PRK,2012,453739518693.16473
"Korea, Rep.",KOR,2012,1278427634342.59
Kosovo,XKX,2012,6163785172.81254
Kyrgyz Republic,KGZ,2012,6605139933.41063
Lao PDR,LAO,2012,10192848926.2582
Latvia,LVA,2012,28169902669.3784
Liechtenstein,LIE,2012,5456009384.66461
Lithuania,LTU,2012,42927454291.478
Luxembourg,LUX,2012,59776383527.3602
"Macao SAR, China",MAC,2012,43189526777.5567
Malaysia,MYS,2012,314443149443.149
Marshall Islands,MHL,2012,180436300.0
"Micronesia, Fed. Sts.",FSM,2012,327248700.0
Moldova,MDA,2012,8709138764.75916
Monaco,MCO,2012,5743029680.07195
Mongolia,MNG,2012,12292770631.1967
Montenegro,MNE,2012,4087725812.66864
Myanmar,MMR,2012,58318677644.9492
Nauru,NRU,2012,96927201.4848422
Netherlands,NLD,2012,838923319919.531
New Caledonia,NCL,2012,9659153061.35633
New Zealand,NZL,2012,176206659722.524
North Macedonia,MKD,2012,9745251126.0109
Northern Mariana Islands,MNP,2012,746000000.0
Norway,NOR,2012,509506317146.541
Palau,PLW,2012,212397800.0
Papua New Guinea,PNG,2012,21295659243.6168
Philippines,PHL,2012,261920509950.555
Poland,POL,2012,498523568248.119
Portugal,PRT,2012,216224240577.957
Romania,ROU,2012,170635805316.879
Russian Federation,RUS,2012,2208295773643.15
Samoa,WSM,2012,760549577.698957
San Marino,SMR,2012,1604779647.95066
Serbia,SRB,2012,43309252921.0567
Singapore,SGP,2012,295087220933.024
Slovak Republic,SVK,2012,94253181330.3891
Slovenia,SVN,2012,46577793184.0031
Solomon Islands,SLB,2012,1191045573.19991
Spain,ESP,2012,1324744314781.64
Sweden,SWE,2012,552483727282.802
Switzerland,CHE,2012,692109693986.886
Tajikistan,TJK,2012,7633049792.09321
Thailand,THA,2012,397558222957.17
Timor-Leste,TLS,2012,1160389500.0
Tonga,TON,2012,470714083.426751
Turkiye,TUR,2012,880556375779.51
Turkmenistan,TKM,2012,35164210526.3158
Tuvalu,TUV,2012,39345620.2112239
Ukraine,UKR,2012,182592416468.527
United Kingdom,GBR,2012,2719158341005.79
Uzbekistan,UZB,2012,67517349212.0609
Vanuatu,VUT,2012,747839697.746593
Vietnam,VNM,2012,195592471672.748
Albania,ALB,2013,12776220507.0162
American Samoa,ASM,2013,638000000.0
Andorra,AND,2013,3193512950.02419
Armenia,ARM,2013,11121465767.4067
Australia,AUS,2013,1576335282651.07
Austria,AUT,2013,430190979705.962
Azerbaijan,AZE,2013,74164435946.4627
Belarus,BLR,2013,75527984234.2342
Belgium,BEL,2013,521791015247.06
Bosnia and Herzegovina,BIH,2013,18172335776.3301
Brunei Darussalam,BRN,2013,18093829923.2737
Bulgaria,BGR,2013,55810138436.4821
Cambodia,KHM,2013,15227991395.2201
Channel Islands,CHI,2013,466785341062.932
China,CHN,2013,9570406235659.64
Croatia,HRV,2013,58889082315.336
Cyprus,CYP,2013,23900872625.8467
Czechia,CZE,2013,211685616592.931
Denmark,DNK,2013,343584391647.927
Estonia,EST,2013,25115753366.1114
Faroe Islands,FRO,2013,2677296440.7172
Fiji,FJI,2013,4190143206.25611
Finland,FIN,2013,271362405890.589
France,FRA,2013,2811876903329.03
French Polynesia,PYF,2013,466785341062.932
Georgia,GEO,2013,17189551520.9811
Germany,DEU,2013,3733804649549.03
Gibraltar,GIB,2013,466785341062.932
Greece,GRC,2013,238907690051.13
Greenland,GRL,2013,2684952726.88425
Guam,GUM,2013,5399000000.0
"Hong Kong SAR, China",HKG,2013,275696879834.966
Hungary,HUN,2013,135732595721.853
Iceland,ISL,2013,16125060515.3117
Indonesia,IDN,2013,912524136718.018
Ireland,IRL,2013,238279269750.987
Isle of Man,IMN,2013,7000748788.49461
Italy,ITA,2013,2141924094298.56
Japan,JPN,2013,5212328181166.18
Kazakhstan,KAZ,2013,236634552078.102
Kiribati,KIR,2013,184550740.142316
"Korea, Dem. People's Rep.",PRK,2013,466785341062.932
"Korea, Rep.",KOR,2013,1370795199976.18
Kosovo,XKX,2013,6735731172.79851
Kyrgyz Republic,KGZ,2013,7335027591.91628
Lao PDR,LAO,2013,11983252611.2727
Latvia,LVA,2013,30204783461.8488
Liechtenstein,LIE,2013,6391735893.83968
Lithuania,LTU,2013,46523420074.4372
Luxembourg,LUX,2013,65203276466.9763
"Macao SAR, China",MAC,2013,51536304807.6803
Malaysia,MYS,2013,323277158906.979
Marshall Islands,MHL,2013,184840400.0
"Micronesia, Fed. Sts.",FSM,2013,317214400.0
Moldova,MDA,2013,9496717702.44839
Monaco,MCO,2013,6555983530.34932
Mongolia,MNG,2013,12582122604.1921
Montenegro,MNE,2013,4465771672.62005
Myanmar,MMR,2013,60572257122.2962
Nauru,NRU,2013,98491843.6441982
Netherlands,NLD,2013,877172824534.512
New Caledonia,NCL,2013,10151385305.7645
New Zealand,NZL,2013,190906575136.003
North Macedonia,MKD,2013,10817712138.9451
Northern Mariana Islands,MNP,2013,772000000.0
Norway,NOR,2013,522761531914.894
Palau,PLW,2013,221117200.0
Papua New Guinea,PNG,2013,21261432791.2675
Philippines,PHL,2013,283902728260.716
Poland,POL,2013,521016262734.924
Portugal,PRT,2013,226433858005.714
Romania,ROU,2013,190801346194.297
Russian Federation,RUS,2013,2292473246621.08
Samoa,WSM,2013,770059564.970021
San Marino,SMR,2013,1678841811.66158
Serbia,SRB,2013,48394239474.6762
Singapore,SGP,2013,307576360584.992
Slovak Republic,SVK,2013,98569320342.5842
Slovenia,SVN,2013,48415657264.8758
Solomon Islands,SLB,2013,1284763287.27352
Spain,ESP,2013,1355142585077.65
Sweden,SWE,2013,586841821796.891
Switzerland,CHE,2013,712748124222.61
Tajikistan,TJK,2013,8448469837.53831
Thailand,THA,2013,420333203150.426
Timor-Leste,TLS,2013,1395519600.0
Tonga,TON,2013,450643615.180528
Turkiye,TUR,2013,957783020853.031
Turkmenistan,TKM,2013,39197543859.6491
Tuvalu,TUV,2013,38617493.7246573
Ukraine,UKR,2013,190498811460.028
United Kingdom,GBR,2013,2803291406029.93
Uzbekistan,UZB,2013,73180036692.3255
Vanuatu,VUT,2013,758304466.245339
Vietnam,VNM,2013,213710932339.105
Albania,ALB,2014,13228147516.1168
American Samoa,ASM,2014,643000000.0
Andorra,AND,2014,3271685596.66321
Armenia,ARM,2014,11609512939.7542
Australia,AUS,2014,1467504819608.92
Austria,AUT,2014,442584815286.034
Azerbaijan,AZE,2014,75244294275.1498
Belarus,BLR,2014,78813839984.3506
Belgium,BEL,2014,535390200131.018
Bosnia and Herzegovina,BIH,2014,18560861397.5577
Brunei Darussalam,BRN,2014,17098342541.4365
Bulgaria,BGR,2014,57082011260.3446
Cambodia,KHM,2014,16702610842.4025
Channel Islands,CHI,2014,477131996998.1093
China,CHN,2014,10475682920597.7
Croatia,HRV,2014,58330289756.6914
Cyprus,CYP,2014,23156850006.6427
Czechia,CZE,2014,209358834156.329
Denmark,DNK,2014,352993631617.708
Estonia,EST,2014,26634083965.0987
Faroe Islands,FRO,2014,2901131403.11804
Fiji,FJI,2014,4856963229.83999
Finland,FIN,2014,274862826772.156
France,FRA,2014,2855964488590.19
French Polynesia,PYF,2014,477131996998.1093
Georgia,GEO,2014,17627003454.7205
Germany,DEU,2014,3889093051023.52
Gibraltar,GIB,2014,477131996998.1093
Greece,GRC,2014,235458133124.608
Greenland,GRL,2014,2842048997.77283
Guam,GUM,2014,5610000000.0
"Hong Kong SAR, China",HKG,2014,291459356985.337
Hungary,HUN,2014,141078984816.675
Iceland,ISL,2014,17867662177.8911
Indonesia,IDN,2014,890814755233.225
Ireland,IRL,2014,258969649063.72
Isle of Man,IMN,2014,7708834951.45631
Italy,ITA,2014,2162009615996.54
Japan,JPN,2014,4896994405353.29
Kazakhstan,KAZ,2014,221415572819.5
Kiribati,KIR,2014,177862310.350122
"Korea, Dem. People's Rep.",PRK,2014,477131996998.1093
"Korea, Rep.",KOR,2014,1484318219633.63
Kosovo,XKX,2014,7074657898.23303
Kyrgyz Republic,KGZ,2014,7468096566.71158
Lao PDR,LAO,2014,13279248478.8161
Latvia,LVA,2014,31386896487.0407
Liechtenstein,LIE,2014,6657170923.37918
Lithuania,LTU,2014,48533659592.1728
Luxembourg,LUX,2014,68804811897.6445
"Macao SAR, China",MAC,2014,54903031137.7096
Malaysia,MYS,2014,338061963396.376
Marshall Islands,MHL,2014,182142800.0
"Micronesia, Fed. Sts.",FSM,2014,319271200.0
Moldova,MDA,2014,9510198961.57287
Monaco,MCO,2014,7069616048.89066
Mongolia,MNG,2014,12226514722.0861
Montenegro,MNE,2014,4593852089.0956
Myanmar,MMR,2014,63264892768.3726
Nauru,NRU,2014,104654365.188653
Netherlands,NLD,2014,892167986713.722
New Caledonia,NCL,2014,10635039738.6899
New Zealand,NZL,2014,201313497220.917
North Macedonia,MKD,2014,11362272837.8818
Northern Mariana Islands,MNP,2014,832000000.0
Norway,NOR,2014,498410050251.256
Palau,PLW,2014,241669800.0
Papua New Guinea,PNG,2014,23210682538.3928
Philippines,PHL,2014,297483247101.038
Poland,POL,2014,542477096211.761
Portugal,PRT,2014,229901964221.884
Romania,ROU,2014,199959363430.073
Russian Federation,RUS,2014,2059241965490.83
Samoa,WSM,2014,756805950.228193
San Marino,SMR,2014,1673973694.69908
Serbia,SRB,2014,47062206677.6539
Singapore,SGP,2014,314851156183.411
Slovak Republic,SVK,2014,101089178418.029
Slovenia,SVN,2014,49997186439.0916
Solomon Islands,SLB,2014,1335584911.8002
Spain,ESP,2014,1371222712535.68
Sweden,SWE,2014,581964017237.095
Switzerland,CHE,2014,734396591036.932
Tajikistan,TJK,2014,9112544556.05962
Thailand,THA,2014,407339454060.678
Timor-Leste,TLS,2014,1447307100.0
Tonga,TON,2014,439878828.008608
Turkiye,TUR,2014,938952628604.067
Turkmenistan,TKM,2014,43524210526.3158
Tuvalu,TUV,2014,38759689.9224806
Ukraine,UKR,2014,133503411375.739
United Kingdom,GBR,2014,3087165602962.86
Uzbekistan,UZB,2014,80845384375.1236
Vanuatu,VUT,2014,772315721.265827
Vietnam,VNM,2014,233449971628.523
Albania,ALB,2015,11386850129.8411
American Samoa,ASM,2015,673000000.0
Andorra,AND,2015,2789881258.50362
Armenia,ARM,2015,10553337672.9872
Australia,AUS,2015,1350534154255.76
Austria,AUT,2015,381971148530.543
Azerbaijan,AZE,2015,53074370486.0433
Belarus,BLR,2015,56454734396.5842
Belgium,BEL,2015,462335574841.484
Bosnia and Herzegovina,BIH,2015,16219819343.5214
Brunei Darussalam,BRN,2015,12930394937.8137
Bulgaria,BGR,2015,50781996712.7635
Cambodia,KHM,2015,18049954289.4229
Channel Islands,CHI,2015,441565725822.58716
China,CHN,2015,11061553079871.5
Croatia,HRV,2015,50163192883.1515
Cyprus,CYP,2015,19842404304.8929
Czechia,CZE,2015,188033050459.881
Denmark,DNK,2015,302673070846.857
Estonia,EST,2015,22890762090.1508
Faroe Islands,FRO,2015,2561824640.6754
Fiji,FJI,2015,4682546863.08162
Finland,FIN,2015,234534382384.766
France,FRA,2015,2439188643162.5
French Polynesia,PYF,2015,5325848045.4324
Georgia,GEO,2015,14953950557.4406
Germany,DEU,2015,3357585719351.56
Gibraltar,GIB,2015,441565725822.58716
Greece,GRC,2015,195683527003.375
Greenland,GRL,2015,2499115623.00272
Guam,GUM,2015,5799000000.0
"Hong Kong SAR, China",HKG,2015,309383627028.561
Hungary,HUN,2015,125210324613.14
Iceland,ISL,2015,17517210519.0912
Indonesia,IDN,2015,860854235065.079
Ireland,IRL,2015,291580037584.33
Isle of Man,IMN,2015,7085288006.11154
Italy,ITA,2015,1836637711060.55
Japan,JPN,2015,4444930651964.18
Kazakhstan,KAZ,2015,184388432148.715
Kiribati,KIR,2015,170291001.98321
"Korea, Dem. People's Rep.",PRK,2015,441565725822.58716
"Korea, Rep.",KOR,2015,1465773245547.15
Kosovo,XKX,2015,6295820481.52668
Kyrgyz Republic,KGZ,2015,6678178340.45121
Lao PDR,LAO,2015,14426381187.0894
Latvia,LVA,2015,27263090547.0617
Liechtenstein,LIE,2015,6268391521.19701
Lithuania,LTU,2015,41435533340.3883
Luxembourg,LUX,2015,60071584216.1375
"Macao SAR, China",MAC,2015,45047964934.2517
Malaysia,MYS,2015,301354803994.367
Marshall Islands,MHL,2015,183814300.0
"Micronesia, Fed. Sts.",FSM,2015,316489900.0
Moldova,MDA,2015,7745241912.94722
Monaco,MCO,2015,6261622101.40908
Mongolia,MNG,2015,11619892396.0767
Montenegro,MNE,2015,4054728172.94375
Myanmar,MMR,2015,63045305229.1046
Nauru,NRU,2015,86529661.3694983
Netherlands,NLD,2015,765572770634.375
New Caledonia,NCL,2015,8738205836.7394
New Zealand,NZL,2015,178064471137.921
North Macedonia,MKD,2015,10064515432.0265
Northern Mariana Islands,MNP,2015,910000000.0
Norway,NOR,2015,385801550067.169
Palau,PLW,2015,280457700.0
Papua New Guinea,PNG,2015,21723531173.2409
Philippines,PHL,2015,306446140628.709
Poland,POL,2015,477811911394.084
Portugal,PRT,2015,199394066525.44
Romania,ROU,2015,177729210874.504
Russian Federation,RUS,2015,1363481063446.77
Samoa,WSM,2015,788307314.850856
San Marino,SMR,2015,1419394763.11994
Serbia,SRB,2015,39655958842.5478
Singapore,SGP,2015,308004146057.608
Slovak Republic,SVK,2015,88636928904.6449
Slovenia,SVN,2015,43107506024.3254
Solomon Islands,SLB,2015,1307082934.28683
Spain,ESP,2015,1195599995808.59
Sweden,SWE,2015,505103781349.757
Switzerland,CHE,2015,702149580770.901
Tajikistan,TJK,2015,8271454300.59548
Thailand,THA,2015,401296437424.995
Timor-Leste,TLS,2015,1594410900.0
Tonga,TON,2015,437006227.162781
Turkiye,TUR,2015,864316670330.882
Turkmenistan,TKM,2015,35799714285.7143
Tuvalu,TUV,2015,36811659.5297123
Ukraine,UKR,2015,91030959454.6961
United Kingdom,GBR,2015,2956573778737.76
Uzbekistan,UZB,2015,86196265191.6645
Vanuatu,VUT,2015,730870581.672312
Vietnam,VNM,2015,239257234710.757
Albania,ALB,2016,11861199830.8396
American Samoa,ASM,2016,671000000.0
Andorra,AND,2016,2896610479.73077
Armenia,ARM,2016,10546135160.031
Australia,AUS,2016,1206685107002.47
Austria,AUT,2016,395837353031.499
Azerbaijan,AZE,2016,37867518957.1975
Belarus,BLR,2016,47722657820.6675
Belgium,BEL,2016,476062757356.927
Bosnia and Herzegovina,BIH,2016,16914287593.2899
Brunei Darussalam,BRN,2016,11400854267.7188
Bulgaria,BGR,2016,53953897624.4344
Cambodia,KHM,2016,20016747754.0192
Channel Islands,CHI,2016,449000989054.89294
China,CHN,2016,11233276536744.7
Croatia,HRV,2016,52295158344.2544
Cyprus,CYP,2016,20953442550.3653
Czechia,CZE,2016,196272068576.338
Denmark,DNK,2016,313115929314.339
Estonia,EST,2016,24072829276.7744
Faroe Islands,FRO,2016,2804863556.01111
Fiji,FJI,2016,4930204229.72263
Finland,FIN,2016,240771351298.833
France,FRA,2016,2472964344587.17
French Polynesia,PYF,2016,5497037292.63831
Georgia,GEO,2016,15141758566.7808
Germany,DEU,2016,3469853463945.53
Gibraltar,GIB,2016,449000989054.89294
Greece,GRC,2016,193148146586.933
Greenland,GRL,2016,2707146783.13056
Guam,GUM,2016,5901000000.0
"Hong Kong SAR, China",HKG,2016,320858250776.188
Hungary,HUN,2016,128636108315.474
Iceland,ISL,2016,20793168030.9524
Indonesia,IDN,2016,931877364177.742
Ireland,IRL,2016,298928152644.686
Isle of Man,IMN,2016,6846691871.45558
Italy,ITA,2016,1877071687633.78
Japan,JPN,2016,5003677627544.24
Kazakhstan,KAZ,2016,137278320084.171
Kiribati,KIR,2016,178509814.059419
"Korea, Dem. People's Rep.",PRK,2016,449000989054.89294
"Korea, Rep.",KOR,2016,1500111596236.37
Kosovo,XKX,2016,6682832632.27806
Kyrgyz Republic,KGZ,2016,6813092065.83507
Lao PDR,LAO,2016,15912495368.8717
Latvia,LVA,2016,28083597512.4841
Liechtenstein,LIE,2016,6237264055.20601
Lithuania,LTU,2016,43047309305.7363
Luxembourg,LUX,2016,62216885435.9488
"Macao SAR, China",MAC,2016,45070605746.0194
Malaysia,MYS,2016,301255380276.258
Marshall Islands,MHL,2016,201510900.0
"Micronesia, Fed. Sts.",FSM,2016,332265200.0
Moldova,MDA,2016,8071469355.2527
Monaco,MCO,2016,6472990923.1791
Mongolia,MNG,2016,11181350461.4723
Montenegro,MNE,2016,4376929571.63126
Myanmar,MMR,2016,60291736893.9397
Nauru,NRU,2016,99723394.9628767
Netherlands,NLD,2016,784060430240.08
New Caledonia,NCL,2016,8724570249.74306
New Zealand,NZL,2016,188838342527.975
North Macedonia,MKD,2016,10672471860.7184
Northern Mariana Islands,MNP,2016,1230000000.0
Norway,NOR,2016,368827142857.143
Palau,PLW,2016,298300000.0
Papua New Guinea,PNG,2016,20759069103.0961
Philippines,PHL,2016,318626761492.867
Poland,POL,2016,472630364208.177
Portugal,PRT,2016,206426152308.931
Romania,ROU,2016,188128818486.401
Russian Federation,RUS,2016,1276786979221.81
Samoa,WSM,2016,799493897.539886
San Marino,SMR,2016,1468377241.53199
Serbia,SRB,2016,40692643373.0327
Singapore,SGP,2016,318832428519.725
Slovak Republic,SVK,2016,89674927723.2422
Slovenia,SVN,2016,44766722790.5826
Solomon Islands,SLB,2016,1378543909.3128
Spain,ESP,2016,1232912963206.23
Sweden,SWE,2016,515654671469.547
Switzerland,CHE,2016,695600652899.283
Tajikistan,TJK,2016,6992393787.40891
Thailand,THA,2016,413366150655.591
Timor-Leste,TLS,2016,1650618500.0
Tonga,TON,2016,420540178.571429
Turkiye,TUR,2016,869692960365.551
Turkmenistan,TKM,2016,36169428571.4286
Tuvalu,TUV,2016,41629497.4724948
Ukraine,UKR,2016,93355993628.5042
United Kingdom,GBR,2016,2722851958486.23
Uzbekistan,UZB,2016,86138288615.1218
Vanuatu,VUT,2016,780889605.899977
Vietnam,VNM,2016,257095955975.529
Albania,ALB,2017,13019689336.6919
American Samoa,ASM,2017,612000000.0
Andorra,AND,2017,3000162081.11976
Armenia,ARM,2017,11527458565.7334
Australia,AUS,2017,1326882872011.46
Austria,AUT,2017,417261151844.977
